content,date,user,reposts,comments,likes,url
地爆球里面的东西是如何放进去的，这会你知道了吧！#科普##工具##记录生活#L机械科技的微博视频​,2024-02-17 08:22,机械科技,34,5,63,https://weibo.com//weibo.com/1783631265/O0Ylbzlqu?refer_flag=1001030103_
涨见识了，#成都美食排队王竟然不是火锅#？！而是这位美味新宠--烤匠❗️“不吃火锅，就吃烤匠” 这句话，在成都那是随处可见，去川西待了几天这句slogan已经刻进我的DNA里了…除了这个我还学了很多有趣的口头禅，比如 “巴适得板”，现在每每吃到他家，就会说 “烤匠，巴适得板，安逸惨咯！” ​,2024-12-02 22:30,谷柚柚,2342,3901,10094,https://weibo.com//weibo.com/2539007975/P32WptOgu?refer_flag=1001030103_
PLOG.109盐盐的日常在成都吃过一次就一直念念不忘的烤匠终于在杭州也吃到啦！之前成都的朋友点名推荐，她说“不吃火锅，就吃烤匠”，可见烤匠在川渝人民心中的地位了！#成都美食排队王竟然不是火锅#没想到都开到家门口了，那必须赶紧冲！速速点了经典麻辣烤鱼，热辣红油，香 ​,2024-12-02 22:30,盐少许呀,1882,1928,4459,https://weibo.com//weibo.com/5693450363/P32WdmXWy?refer_flag=1001030103_
黑白线条玩转酷飒风范，伦敦街头演绎不羁定义，休闲利落个性先锋！@刘雨昕英国时尚大奖红毯见！ ​,2024-12-02 22:11,刘雨昕工作室,49904,12940,34915,https://weibo.com//weibo.com/6303297939/P32ONpPdI?refer_flag=1001030103_
无辣不欢，对辣的执着一吃到底，接地气的，老牌的，流着新鲜血液的餐厅，成都每条街都是琳琅满目的小吃，禁不住诱惑的吃货们可千万不要去了。#成都美食排队王竟然不是火锅#几乎每家店铺都爆满，那里排队都需要排一小时，不过为了吃，值得，俗话说排队一小时，吃饭五分钟。一条街里，五花八门逛都逛不 ​,2024-12-02 22:34,丁丁旅行,1033,1052,14058,https://weibo.com//weibo.com/2132973605/P32Y1kfBC?refer_flag=1001030103_
#成都美食排队王竟然不是火锅#那个让成都重庆小伙伴疯狂打call的烤匠，在北京也能吃到啦！！作为大吃货的小於，赶紧约上小伙伴一起进京赶烤，毕竟这可是我离开成都工作后独一二想念的味道！不吃火锅就吃烤匠，没想到在成都得排队，到了北京还得排，直接怒排到凌晨都大有人在，这火爆 ​,2024-12-02 22:30,於食记,1813,1238,6588,https://weibo.com//weibo.com/5689119807/P32WaDXdy?refer_flag=1001030103_
